dir,ts,chain,block,addr,devbat,msgid,brake,disc_bits,valve,confirm,db_1,motion,l_batt,light,hex
"r2f","2022-04-10T10:10:00.521","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","d9 39 a2 80 58 5e a3 0f"
"r2f","2022-04-10T10:10:00.522","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","d9 39 a2 80 58 5e a3 0f"
"r2f","2022-04-10T10:10:00.529","ONLY","BASIC","4828","OK","ONEWAY","NO-GO","2e","OPERATIONAL","RESPONSE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","f9 da 41 97 00 09 6e 0f"
"r2f","2022-04-10T10:10:00.530","ONLY","BASIC","4828","OK","ONEWAY","NO-GO","2e","OPERATIONAL","RESPONSE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","f9 da 41 97 00 09 6e 0f"
"r2f","2022-04-10T10:10:00.530","ONLY","BASIC","48454","OK","TEST/ARM_REQ","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","b1 fb 42 80 58 5e a3 7f"
"r2f","2022-04-10T10:10:00.532","ONLY","BASIC","4828","OK","ONEWAY","NO-GO","2e","OPERATIONAL","RESPONSE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","f9 da 41 97 00 09 6e 0f"
"r2f","2022-04-10T10:10:00.539","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","d9 39 a2 80 58 5e a3 0f"
"r2f","2022-04-10T10:10:00.540","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","59 39 a2 80 58 5e a3 0f"
"r2f","2022-04-10T10:10:00.548","ONLY","BASIC","5957","OK","ONEWAY","NO-GO","30","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","b6 c8 a0 98 00 0b a2 8f"
"r2f","2022-04-10T10:10:00.548","ONLY","BASIC","5957","OK","ONEWAY","NO-GO","30","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","b6 c8 a0 98 00 0b a2 8f"
